id,cluster,entropy,turbulence,transitions
428,type 1,0.21695679408822,3.16220118545164,2
429,type 1,0.162488237864537,3,2
430,type 3,0.46866359758194,4.82225379843694,3
431,type 1,0.21695679408822,3.16220118545164,2
432,type 2,0.559559120980473,5.52957393085462,3
433,type 2,0.554428225871649,6.10080064078749,2
434,type 1,0.0815649357620124,2,1
435,type 1,0.21695679408822,3.16220118545164,2
436,type 1,0.0815649357620124,2,1
437,type 1,0.136698050715568,2.21266088331867,1
438,type 1,0.0815649357620124,2,1
439,type 1,0.0815649357620124,2,1
440,type 1,0.261001822254378,3.33006430996604,2
441,type 4,0,1,0
442,type 4,0,1,0
443,type 1,0.162488237864537,3,2
444,type 1,0.21695679408822,3.16220118545164,2
445,type 1,0.0815649357620124,2,1
446,type 1,0.21695679408822,3.16220118545164,2
447,type 1,0.21695679408822,3.16220118545164,2
448,type 1,0.0815649357620124,2,1
449,type 1,0.0815649357620124,2,1
450,type 1,0.42211694589383,4.1457880955608,2
451,type 2,0.517713091661141,5.19222366855109,2
452,type 1,0.0815649357620124,2,1
453,type 1,0.261001822254378,3.33006430996604,2
454,type 4,0,1,0
455,type 1,0.21695679408822,3.16220118545164,2
456,type 1,0.21695679408822,3.16220118545164,2
457,type 1,0.136698050715568,2.21266088331867,1
458,type 1,0.296526354381955,4.14855654050828,3
459,type 1,0.136698050715568,2.21266088331867,1
460,type 3,0.433984604744146,4.64403265543954,3
461,type 4,0,1,0
462,type 1,0.270736167232985,3.33750089880782,2
463,type 1,0.21695679408822,3.16220118545164,2
464,type 1,0.270736167232985,3.33750089880782,2
465,type 1,0.21695679408822,3.16220118545164,2
466,type 3,0.42211694589383,4.1457880955608,2
467,type 3,0.426817568262608,4.15890359535106,2
468,type 3,0.426817568262608,4.15890359535106,2
469,type 1,0.21695679408822,3.16220118545164,2
470,type 1,0.0815649357620124,2,1
471,type 4,0,1,0
472,type 1,0.21695679408822,3.16220118545164,2
473,type 1,0.162488237864537,3,2
474,type 1,0.136698050715568,2.21266088331867,1
475,type 1,0.136698050715568,2.21266088331867,1
476,type 1,0.136698050715568,2.21266088331867,1
477,type 2,0.379731334537302,4.04494740605398,2
478,type 3,0.457641478021406,4.80242262651537,3
479,type 4,0.0815649357620124,2,1
480,type 1,0.136698050715568,2.21266088331867,1
481,type 1,0.0815649357620124,2,1
482,type 1,0.0815649357620124,2,1
483,type 1,0.0815649357620124,2,1
484,type 1,0.136698050715568,2.21266088331867,1
485,type 3,0.530742908708721,6.48570086934808,5
486,type 3,0.681233885192689,6.7988098129246,4
487,type 1,0.21695679408822,3.16220118545164,2
488,type 1,0.136698050715568,2.21266088331867,1
489,type 1,0.443718949722753,4.6528835730218,3
490,type 1,0.162488237864537,3,2
491,type 1,0.261001822254378,3.33006430996604,2
492,type 3,0.392138575424814,3.92806610575836,2
493,type 1,0.0815649357620124,2,1
494,type 1,0.21695679408822,3.16220118545164,2
495,type 1,0.0815649357620124,2,1
496,type 1,0.0815649357620124,2,1
497,type 3,0.314065492438533,3.52006272592806,2
498,type 1,0.21695679408822,3.16220118545164,2
499,type 1,0.136698050715568,2.21266088331867,1
500,type 1,0.0815649357620124,2,1
501,type 1,0.181432261960644,2.44214272944144,1
502,type 1,0.21695679408822,3.16220118545164,2
503,type 1,0.261001822254378,3.33006430996604,2
504,type 3,0.314065492438533,3.52006272592806,2
505,type 1,0.21695679408822,3.16220118545164,2
506,type 1,0.136698050715568,2.21266088331867,1
507,type 1,0.0815649357620124,2,1
508,type 1,0.162488237864537,3,2
509,type 1,0.261001822254378,3.33006430996604,2
510,type 1,0.480450308992709,4.657566249678,2
511,type 1,0.162488237864537,3,2
512,type 1,0.136698050715568,2.21266088331867,1
513,type 3,0.478397942560547,4.83227255426193,3
514,type 1,0.42211694589383,4.1457880955608,2
515,type 1,0.392175003703145,4.46970247487723,3
516,type 4,0.0815649357620124,2,1
517,type 3,0.433984604744146,4.64403265543954,3
518,type 1,0.219155792935046,2.69131448189349,1
519,type 1,0.21695679408822,3.16220118545164,2
520,type 1,0.0815649357620124,2,1
521,type 1,0.181432261960644,2.44214272944144,1
522,type 1,0.0815649357620124,2,1
523,type 1,0.0815649357620124,2,1
524,type 1,0.181432261960644,2.44214272944144,1
525,type 1,0.136698050715568,2.21266088331867,1
526,type 1,0.136698050715568,2.21266088331867,1
527,type 1,0.0815649357620124,2,1
528,type 1,0.136698050715568,2.21266088331867,1
529,type 1,0.0815649357620124,2,1
530,type 1,0.270736167232985,3.33750089880782,2
531,type 1,0.181432261960644,2.44214272944144,1
532,type 1,0.136698050715568,2.21266088331867,1
533,type 1,0.0815649357620124,2,1
534,type 1,0.181432261960644,2.44214272944144,1
535,type 1,0.21695679408822,3.16220118545164,2
536,type 1,0.21695679408822,3.16220118545164,2
537,type 1,0.136698050715568,2.21266088331867,1
538,type 1,0.21695679408822,3.16220118545164,2
539,type 3,0.42211694589383,4.1457880955608,2
540,type 1,0.21695679408822,3.16220118545164,2
541,type 1,0.181432261960644,2.44214272944144,1
542,type 1,0.261001822254378,3.33006430996604,2
543,type 1,0.181432261960644,2.44214272944144,1
544,type 1,0.219155792935046,2.69131448189349,1
545,type 1,0.270736167232985,3.33750089880782,2
546,type 3,0.605151098327707,5.70255873204599,3
547,type 3,0.314065492438533,3.52006272592806,2
548,type 1,0.0815649357620124,2,1
549,type 1,0.136698050715568,2.21266088331867,1
550,type 3,0.356650471575569,3.71937153415147,2
551,type 4,0,1,0
552,type 1,0.136698050715568,2.21266088331867,1
553,type 3,0.392175003703145,4.46970247487723,3
554,type 1,0.136698050715568,2.21266088331867,1
555,type 1,0.162488237864537,3,2
556,type 1,0.270736167232985,3.33750089880782,2
557,type 4,0.136698050715568,2.21266088331867,1
558,type 1,0.0815649357620124,2,1
559,type 1,0.21695679408822,3.16220118545164,2
560,type 1,0.270736167232985,3.33750089880782,2
561,type 4,0,1,0
562,type 4,0,1,0
563,type 1,0.21695679408822,3.16220118545164,2
564,type 1,0.0815649357620124,2,1
565,type 1,0.21695679408822,3.16220118545164,2
566,type 1,0.270736167232985,3.33750089880782,2
567,type 1,0.21695679408822,3.16220118545164,2
568,type 1,0.162488237864537,3,2
569,type 1,0.181432261960644,2.44214272944144,1
570,type 1,0.181432261960644,2.44214272944144,1
571,type 1,0.162488237864537,3,2
572,type 3,0.507765968533758,4.96790637029015,2
573,type 1,0.21695679408822,3.16220118545164,2
574,type 1,0.181432261960644,2.44214272944144,1
575,type 1,0.279279910128661,3.26449981483829,1
576,type 3,0.350328974383813,3.70968898075413,2
577,type 1,0.0815649357620124,2,1
578,type 3,0.42211694589383,4.1457880955608,2
579,type 3,0.554312620221868,5.40472244366954,3
580,type 1,0.270736167232985,3.33750089880782,2
581,type 1,0.296526354381955,4.14855654050828,3
582,type 1,0.219155792935046,2.69131448189349,1
583,type 1,0.136698050715568,2.21266088331867,1
584,type 1,0.0815649357620124,2,1
585,type 4,0.0815649357620124,2,1
586,type 1,0.21695679408822,3.16220118545164,2
587,type 1,0.46866359758194,4.82225379843694,3
588,type 3,0.298009650268171,3.5032381032867,2
589,type 1,0.162488237864537,3,2
590,type 1,0.314065492438533,3.52006272592806,2
591,type 3,0.518552518995529,5.03717754886954,3
592,type 1,0.219155792935046,2.69131448189349,1
593,type 1,0.136698050715568,2.21266088331867,1
594,type 1,0.480450308992709,4.657566249678,2
595,type 1,0.162488237864537,3,2
596,type 1,0.219155792935046,2.69131448189349,1
597,type 1,0.136698050715568,2.21266088331867,1
598,type 1,0.0815649357620124,2,1
599,type 1,0.162488237864537,3,2
600,type 1,0.34959002456611,4.30718150951818,3
601,type 3,0.298009650268171,3.5032381032867,2
602,type 3,0.261001822254378,3.33006430996604,2
603,type 1,0.270736167232985,3.33750089880782,2
604,type 1,0.443718949722753,4.6528835730218,3
605,type 1,0.162488237864537,3,2
606,type 1,0.162488237864537,3,2
607,type 1,0.136698050715568,2.21266088331867,1
